,System,Algorithm,Random Seed,Kdim,Time,Train Error1,Train Error2,Train Error5,Test Error1,Test Error2,Test Error5
0,glycolic oscillator,SGD with AugSILL,42,27,"[0.4141221046447754, 0.815680742263794, 1.2520899772644043, 1.6428959369659424, 2.0155200958251953]","[1.4129085540771484, 1.2891886234283447, 1.22317636013031, 1.126055359840393, 1.0645580291748047]","[2.6891534328460693, 2.4650299549102783, 2.4440758228302, 2.2922112941741943, 2.1895341873168945]","[7.9324421882629395, 6.790406703948975, 6.245328903198242, 5.563266754150391, 4.924922466278076]","[1.5301313400268555, 1.4333912134170532, 1.3438993692398071, 1.2603436708450317, 1.182685136795044]","[2.9476053714752197, 2.829318046569824, 2.715139150619507, 2.602161169052124, 2.4912407398223877]","[8.656312942504883, 7.773689270019531, 6.995859622955322, 6.308997631072998, 5.69166374206543]"
1,glycolic oscillator,SGD with SILL,42,27,"[0.3514561653137207, 0.7125279903411865, 1.0697197914123535, 1.4695780277252197, 1.8323090076446533]","[1.3748327493667603, 1.2273895740509033, 1.1337381601333618, 1.0751851797103882, 0.9936619997024536]","[1.6503411531448364, 1.5168546438217163, 1.5091416835784912, 1.582788348197937, 1.5582457780838013]","[6.574162483215332, 5.457557678222656, 4.713508605957031, 4.2334370613098145, 3.812565803527832]","[1.4241821765899658, 1.3099719285964966, 1.207316279411316, 1.1145620346069336, 1.0304570198059082]","[1.8338499069213867, 1.797158122062683, 1.7636218070983887, 1.7302350997924805, 1.698341965675354]","[6.716348171234131, 5.81170129776001, 5.139547348022461, 4.647756576538086, 4.276722431182861]"
2,glycolic oscillator,SGD with rbfs,42,27,"[0.3465709686279297, 0.6987698078155518, 1.0514507293701172, 1.4058208465576172, 1.7638509273529053]","[0.8035004138946533, 0.6760861873626709, 0.6618926525115967, 0.6372287273406982, 0.5594130754470825]","[1.4306179285049438, 1.1829501390457153, 1.233407974243164, 1.2396727800369263, 1.0874534845352173]","[8.938297271728516, 7.276320934295654, 7.265395164489746, 7.227136611938477, 6.20907735824585]","[0.8661958575248718, 0.803520143032074, 0.745901882648468, 0.6926756501197815, 0.6434089541435242]","[1.5435669422149658, 1.4744608402252197, 1.4114601612091064, 1.3517301082611084, 1.2941207885742188]","[9.812763214111328, 8.9907808303833, 8.288619995117188, 7.677362442016602, 7.1341047286987305]"
3,glycolic oscillator,SGD with AugSILL,21,27,"[0.3613312244415283, 0.7311930656433105, 1.1120731830596924, 1.4887111186981201, 1.8612849712371826]","[0.5870543122291565, 0.519713282585144, 0.48056697845458984, 0.41411060094833374, 0.3768353760242462]","[0.7925828099250793, 0.7231524586677551, 0.6628469228744507, 0.5935325622558594, 0.5641859173774719]","[3.2869930267333984, 2.956878185272217, 2.8294665813446045, 2.4712252616882324, 2.5245375633239746]","[0.6858457326889038, 0.6241644024848938, 0.5690904259681702, 0.5197502970695496, 0.47570499777793884]","[0.9304122924804688, 0.8699315190315247, 0.8146354556083679, 0.7625014781951904, 0.7143048048019409]","[4.143951416015625, 3.9200475215911865, 3.7136435508728027, 3.518474578857422, 3.3340189456939697]"
4,glycolic oscillator,SGD with SILL,21,27,"[0.35070371627807617, 0.7114498615264893, 1.0697689056396484, 1.4339547157287598, 1.7958018779754639]","[0.7690957188606262, 0.7464467287063599, 0.6558831930160522, 0.5754188299179077, 0.5079724788665771]","[1.4043340682983398, 1.266958475112915, 1.1457936763763428, 1.023110032081604, 0.9415931701660156]","[4.876323699951172, 4.610599994659424, 4.511532306671143, 3.918221950531006, 3.8587806224823]","[0.9650624990463257, 0.8791413307189941, 0.8037049174308777, 0.7364864945411682, 0.6765384078025818]","[1.4587249755859375, 1.3290797472000122, 1.2091400623321533, 1.100703239440918, 1.003021478652954]","[5.44556188583374, 5.094573497772217, 4.781708717346191, 4.487172603607178, 4.214345455169678]"
5,glycolic oscillator,SGD with rbfs,21,27,"[0.3446218967437744, 0.6924278736114502, 1.0449321269989014, 1.3988070487976074, 1.7520208358764648]","[0.7456575632095337, 0.7181556224822998, 0.6733909249305725, 0.6136674284934998, 0.5378648638725281]","[1.0889921188354492, 1.0242855548858643, 0.9501340389251709, 0.8709602952003479, 0.7872709035873413]","[13.685298919677734, 12.708403587341309, 11.509716033935547, 10.185406684875488, 8.627111434936523]","[0.963782787322998, 0.8894248604774475, 0.8211989402770996, 0.7582573294639587, 0.7003559470176697]","[1.361539602279663, 1.254485011100769, 1.1584547758102417, 1.071428656578064, 0.9923967719078064]","[16.648820877075195, 14.753077507019043, 13.122010231018066, 11.7030611038208, 10.463652610778809]"
6,glycolic oscillator,SGD with AugSILL,7,27,"[0.3592829704284668, 0.7295529842376709, 1.1042351722717285, 1.4795949459075928, 1.8505620956420898]","[1.4633251428604126, 1.337988018989563, 1.2564876079559326, 1.1772476434707642, 1.1370047330856323]","[1.3155572414398193, 1.219542384147644, 1.1768147945404053, 1.1305543184280396, 1.0989042520523071]","[8.410968780517578, 7.3646016120910645, 6.716506481170654, 6.094115257263184, 5.61532735824585]","[1.7540167570114136, 1.6337435245513916, 1.5232566595077515, 1.4218286275863647, 1.328375220298767]","[1.5417064428329468, 1.4532891511917114, 1.3754558563232422, 1.3056464195251465, 1.241949439048767]","[10.123805046081543, 9.111495971679688, 8.192630767822266, 7.360116481781006, 6.61050271987915]"
7,glycolic oscillator,SGD with SILL,7,27,"[0.34952425956726074, 0.7111101150512695, 1.0655920505523682, 1.423802137374878, 1.7754390239715576]","[1.6932132244110107, 1.5159775018692017, 1.3891170024871826, 1.2444453239440918, 1.1199016571044922]","[2.761347770690918, 2.554398536682129, 2.3908090591430664, 2.1821866035461426, 2.007888078689575]","[10.659575462341309, 9.794411659240723, 8.413931846618652, 7.430842399597168, 6.745042324066162]","[1.775956392288208, 1.6041605472564697, 1.4495455026626587, 1.3102530241012573, 1.1848251819610596]","[2.9215478897094727, 2.713958501815796, 2.5211336612701416, 2.3422155380249023, 2.1783254146575928]","[10.55452823638916, 9.329933166503906, 8.361227035522461, 7.5542168617248535, 6.856353759765625]"
8,glycolic oscillator,SGD with rbfs,7,27,"[0.3394320011138916, 0.6886661052703857, 1.0379421710968018, 1.3939850330352783, 1.7474188804626465]","[0.4610968828201294, 0.43597081303596497, 0.42311835289001465, 0.4190607964992523, 0.3456311523914337]","[0.8481313586235046, 0.8129357695579529, 0.7807954549789429, 0.7753005623817444, 0.6613891124725342]","[2.303110122680664, 2.2304484844207764, 2.3103742599487305, 2.2897493839263916, 1.8107961416244507]","[0.6497288346290588, 0.5916842818260193, 0.5397456884384155, 0.492997944355011, 0.4507887363433838]","[1.150905728340149, 1.0551815032958984, 0.972396731376648, 0.8979372382164001, 0.8295180201530457]","[4.159747123718262, 3.6726322174072266, 3.308687448501587, 3.02254319190979, 2.787602424621582]"
9,glycolic oscillator,SGD with AugSILL,3,27,"[0.35408902168273926, 0.723487138748169, 1.0912220478057861, 1.4623181819915771, 1.8362090587615967]","[0.8196935057640076, 0.7552036046981812, 0.6968677043914795, 0.6108785271644592, 0.6348713636398315]","[0.5588548183441162, 0.556602418422699, 0.5379207134246826, 0.5472117066383362, 0.5179739594459534]","[2.8477203845977783, 2.553464889526367, 2.3143844604492188, 2.1661128997802734, 1.992900013923645]","[0.9756675362586975, 0.9113976955413818, 0.8526574373245239, 0.7988569140434265, 0.7493974566459656]","[0.6418805122375488, 0.6289656758308411, 0.6186335682868958, 0.6101497411727905, 0.602098286151886]","[2.8834402561187744, 2.6162357330322266, 2.388408660888672, 2.203493118286133, 2.050152540206909]"
10,glycolic oscillator,SGD with SILL,3,27,"[0.358353853225708, 0.7421760559082031, 1.1408638954162598, 1.5395898818969727, 1.9416508674621582]","[2.0169739723205566, 1.796694278717041, 1.705428957939148, 1.5637143850326538, 1.4797905683517456]","[3.2665858268737793, 2.955753803253174, 2.7889156341552734, 2.6187469959259033, 2.436497926712036]","[22.389188766479492, 19.532014846801758, 17.445999145507812, 15.731554985046387, 14.227401733398438]","[2.3831629753112793, 2.213721752166748, 2.058302879333496, 1.9151290655136108, 1.7829521894454956]","[3.5595853328704834, 3.31036114692688, 3.0963635444641113, 2.910731315612793, 2.7471253871917725]","[22.585052490234375, 20.13520622253418, 18.179710388183594, 16.61946678161621, 15.338168144226074]"
11,glycolic oscillator,SGD with rbfs,3,27,"[0.38174986839294434, 0.7789220809936523, 1.173624038696289, 1.5479941368103027, 1.8908541202545166]","[0.7215901017189026, 0.6361011862754822, 0.6305834650993347, 0.5493819713592529, 0.5399900078773499]","[1.0901625156402588, 0.9580410718917847, 0.9704804420471191, 0.8272014260292053, 0.8239151835441589]","[17.224130630493164, 14.343900680541992, 13.833651542663574, 11.287019729614258, 10.813211441040039]","[0.8892269134521484, 0.8328657746315002, 0.7810147404670715, 0.7331835627555847, 0.688793957233429]","[1.3606994152069092, 1.2742778062820435, 1.1978474855422974, 1.1290550231933594, 1.0662976503372192]","[21.432846069335938, 19.29384994506836, 17.3824405670166, 15.685869216918945, 14.18679141998291]"
